t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_dtheta
3.9000000000000004,3.668214016084555,-6.993179725636358,0.9833333333333271,1.2257963267948924,7.9636882668003395,4.287077327288878,,0.9833333333333271,-0.06
4.0,3.6911984437728504,-6.939565419135022,0.583333333333327,1.1657963267948919,7.896857396638905,4.38415630417886,,0.583333333333327,-0.06
4.1000000000000005,3.69941952846602,-6.923178690432232,0.18333333333332702,1.1057963267948914,7.860185376806691,4.439407068193668,,0.18333333333332702,-0.06
4.2,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
4.3,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
4.4,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
4.5,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
4.6000000000000005,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
4.7,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
4.800000000000001,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
4.9,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.0,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.1000000000000005,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.2,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.300000000000001,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.4,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.5,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.6000000000000005,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.7,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.800000000000001,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
5.9,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
6.0,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
6.1000000000000005,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
6.2,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
6.300000000000001,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
6.4,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
6.5,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
6.6000000000000005,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
6.7,3.69941952846602,-6.923178690432232,0.0,1.1057963267948914,7.849592857419466,4.455776497225944,,0.0,0.0
