t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_omega
15.3,-0.0989883365955065,102.033099261786,15.0333333333333,1.5707963267949,100.529814663712,1.11949713335431,Inf,15.0333333333333,0
15.4,-0.0989883365955077,103.539765928453,15.0666666666667,1.5707963267949,102.033147278991,1.09973311981235,Inf,15.0666666666667,0
15.5,-0.098988336595509,105.03893259512,14.9916666666667,1.5707963267949,103.539813246932,1.08055777185868,Inf,14.9916666666667,0
15.6,-0.0989883365955102,106.54143259512,15.025,1.5707963267949,105.038979238247,1.06207760874403,Inf,15.025,0
15.7,-0.0989883365955115,108.047265928453,15.0583333333333,1.5707963267949,106.541478580463,1.04412953466781,Inf,15.0583333333333,0
15.8,-0.0989883365955127,109.545599261786,14.9833333333333,1.5707963267949,108.047311272908,1.02669178542666,Inf,14.9833333333333,0
15.9,-0.0989883365955139,111.047265928453,15.0166666666667,1.5707963267949,109.545643986033,1.00986357719317,Inf,15.0166666666667,0
16,-0.0989883365955152,112.552265928453,15.05,1.5707963267949,111.047310047904,0.993498447157983,Inf,15.05,0
16.1,-0.0989883365955164,114.049765928453,14.975,1.5707963267949,112.552309457958,0.977578296849603,Inf,14.975,0
16.2,-0.0989883365955177,115.550599261786,15.0083333333333,1.5707963267949,114.049808886406,0.962195607255081,Inf,15.0083333333333,0
16.3,-0.0989883365955189,117.054765928453,15.0416666666667,1.5707963267949,115.550641661778,0.947218148212327,Inf,15.0416666666667,0
16.4,-0.0989883365955202,118.562265928453,15.075,1.5707963267949,117.054807783601,0.932630763206622,Inf,15.075,0
16.5,-0.0989883365955214,120.062265928453,15,1.5707963267949,118.562307251419,0.918419029108342,Inf,15,0
16.6,-0.0989883365955226,121.565599261786,15.0333333333333,1.5707963267949,120.06230673515,0.904667157772879,Inf,15.0333333333333,0
16.7,-0.0989883365955239,123.072265928453,15.0666666666667,1.5707963267949,121.565639563851,0.891258812346243,Inf,15.0666666666667,0
16.8,-0.0989883365955251,124.57143259512,14.9916666666667,1.5707963267949,123.072305737134,0.87818181480563,Inf,14.9916666666667,0
16.9,-0.0989883365955264,126.07393259512,15.025,1.5707963267949,124.57147192472,0.865514860340044,Inf,15.025,0
17,-0.0989883365955276,127.579765928453,15.0583333333333,1.5707963267949,126.073971456005,0.853151823965819,Inf,15.0583333333333,0
17.1,-0.0989883365955289,129.078099261786,14.9833333333333,1.5707963267949,127.579804330661,0.841082362714329,Inf,14.9833333333333,0
